sample_id,tepname,temperature,tepvalue
406,rho,410.0691,3.199023e-06
406,rho,365.153,2.881563e-06
406,rho,316.7818,2.612943e-06
62,rho,323.15,3.612218e-06
62,rho,373.6602,5.312085e-06
62,rho,423.15,7.436919e-06
62,rho,480.8031,9.774236e-06
62,rho,499.6806,1.104914e-05
62,rho,520.0888,1.232404e-05
62,rho,540.4969,1.359894e-05
62,rho,559.8847,1.508632e-05
62,rho,580.2929,1.657371e-05
62,rho,599.6806,1.806109e-05
62,rho,620.599,2.018592e-05
62,rho,640.4969,2.167331e-05
62,rho,659.3745,2.358566e-05
62,rho,677.7418,2.528552e-05
62,rho,696.1092,2.698539e-05
62,rho,712.9459,2.868526e-05
62,rho,722.6398,2.974768e-05
63,rho,297.5524,4.413876e-06
63,rho,322.7273,4.952153e-06
63,rho,347.9021,6.028708e-06
63,rho,372.7273,7.320574e-06
63,rho,398.2517,8.397129e-06
63,rho,422.7273,9.58134e-06
63,rho,447.9021,1.130383e-05
63,rho,473.4266,1.302632e-05
63,rho,497.9021,1.485646e-05
63,rho,523.0769,1.690191e-05
63,rho,548.2517,1.894737e-05
63,rho,573.0769,2.120813e-05
63,rho,597.9021,2.336124e-05
63,rho,623.0769,2.551435e-05
64,rho,300.0,4.203593e-06
64,rho,324.9759,4.634731e-06
64,rho,350.2893,5.281437e-06
64,rho,374.9277,6.08982e-06
64,rho,399.9036,7.005988e-06
64,rho,424.8795,7.922156e-06
64,rho,450.1929,8.946108e-06
64,rho,475.1688,1.013174e-05
64,rho,500.1446,1.147904e-05
64,rho,525.1205,1.271856e-05
64,rho,550.0964,1.411976e-05
64,rho,575.0723,1.546707e-05
64,rho,600.0482,1.719162e-05
64,rho,625.0241,1.907784e-05
64,rho,650.0,2.07485e-05
66,rho,325.7703,1.745006e-05
66,rho,339.2157,1.850764e-05
66,rho,359.3838,2.097532e-05
66,rho,388.5154,2.450059e-05
66,rho,426.6106,3.031727e-05
66,rho,464.1457,3.666275e-05
66,rho,501.6807,4.441833e-05
66,rho,538.0952,5.287897e-05
66,rho,573.9496,6.204465e-05
66,rho,611.4846,7.297297e-05
66,rho,647.3389,8.407756e-05
66,rho,684.3137,9.606345e-05
66,rho,719.6078,0.0001068155
66,rho,756.0224,0.00011651
66,rho,794.6779,0.000123913
66,rho,826.0504,0.000127262
388,rho,705.2202,3.885089e-05
388,rho,693.6676,3.70725e-05
388,rho,683.9633,3.556772e-05
388,rho,673.797,3.447332e-05
388,rho,664.0927,3.296854e-05
388,rho,653.9263,3.160055e-05
388,rho,643.76,3.009576e-05
388,rho,634.0557,2.900137e-05
388,rho,623.8894,2.763338e-05
388,rho,613.723,2.653899e-05
388,rho,604.0188,2.53078e-05
388,rho,593.8524,2.421341e-05
388,rho,583.2239,2.270862e-05
388,rho,573.9818,2.188782e-05
388,rho,562.4291,2.093023e-05
388,rho,552.7249,1.997264e-05
388,rho,543.9448,1.915185e-05
388,rho,533.7785,1.792066e-05
388,rho,524.0742,1.696306e-05
388,rho,513.4457,1.586867e-05
388,rho,502.8173,1.504788e-05
388,rho,492.6509,1.422709e-05
388,rho,482.4846,1.326949e-05
388,rho,472.7803,1.24487e-05
388,rho,462.614,1.19015e-05
388,rho,452.9097,1.121751e-05
388,rho,442.7433,1.067031e-05
388,rho,433.0391,1.012312e-05
388,rho,422.8727,9.302326e-06
388,rho,411.3201,8.618331e-06
388,rho,401.1537,8.344733e-06
388,rho,391.4494,8.071135e-06
388,rho,379.8968,7.660739e-06
388,rho,369.7304,7.113543e-06
388,rho,359.564,6.839945e-06
388,rho,349.3977,6.29275e-06
388,rho,337.845,5.882353e-06
388,rho,328.1408,5.882353e-06
388,rho,312.8912,5.06156e-06
388,rho,307.808,4.787962e-06
67,rho,292.1483,1.318977e-05
