sample_id,tepname,temperature,tepvalue
230,kappa,823.0744,0.8126776
230,kappa,873.3939,0.8477332
230,kappa,923.7135,0.8827887
49,kappa,322.6843,2.789134
49,kappa,372.9679,2.359172
49,kappa,423.6295,1.929206
49,kappa,473.535,1.572868
49,kappa,523.4405,1.322869
49,kappa,573.724,1.130126
49,kappa,624.0076,0.9823721
49,kappa,673.535,0.8918861
49,kappa,724.1966,0.8422884
49,kappa,773.3459,0.8254259
231,kappa,299.2349,2.941537
231,kappa,316.6999,2.794574
231,kappa,347.0559,2.606158
231,kappa,373.6693,2.478036
231,kappa,396.5403,2.349914
231,kappa,423.5695,2.236865
231,kappa,447.688,2.127584
231,kappa,474.3014,2.033376
231,kappa,498.4198,1.927864
231,kappa,523.7858,1.860034
231,kappa,547.9042,1.777132
231,kappa,573.2701,1.701766
231,kappa,598.2202,1.633936
231,kappa,623.5862,1.573643
231,kappa,648.1204,1.509582
231,kappa,673.9022,1.445521
231,kappa,698.4365,1.385228
231,kappa,723.8024,1.332472
232,kappa,297.905,2.193689
232,kappa,315.7092,2.121328
232,kappa,345.6736,1.98803
232,kappa,320.4877,2.087051
232,kappa,373.4637,1.88901
232,kappa,395.6085,1.81284
232,kappa,422.9641,1.717628
232,kappa,447.7117,1.652884
232,kappa,473.7619,1.584331
232,kappa,497.6405,1.527203
232,kappa,523.2557,1.466268
232,kappa,547.5678,1.412949
232,kappa,573.1821,1.35963
232,kappa,597.9269,1.317737
232,kappa,623.1061,1.272035
232,kappa,647.4164,1.23395
232,kappa,673.0297,1.188248
232,kappa,697.7736,1.153972
232,kappa,723.3855,1.119695
233,kappa,322.7818,3.02027
233,kappa,372.7418,2.716216
233,kappa,422.7018,2.501931
233,kappa,472.6619,2.296332
233,kappa,522.6219,2.090734
233,kappa,572.9816,1.916988
233,kappa,622.9416,1.746139
233,kappa,672.9017,1.618726
233,kappa,722.8617,1.5
233,kappa,772.8217,1.407336
440,kappa,300.0,1.214327
440,kappa,373.0067,1.010315
440,kappa,472.9107,0.8361032
440,kappa,572.8146,0.7467049
440,kappa,672.7185,0.7971347
234,kappa,300.0,3.689676
234,kappa,318.5714,3.566825
234,kappa,367.8571,3.198317
234,kappa,415.0,2.874003
234,kappa,439.2857,2.721659
234,kappa,465.0,2.564396
234,kappa,488.5714,2.421874
234,kappa,513.5714,2.294069
234,kappa,537.8571,2.151543
234,kappa,563.5714,2.043368
234,kappa,587.1429,1.935208
234,kappa,612.8571,1.817216
234,kappa,635.7143,1.718879
234,kappa,659.2857,1.620537
234,kappa,683.5714,1.532008
234,kappa,708.5714,1.448382
234,kappa,743.5714,1.34996
234,kappa,776.4286,1.271188
234,kappa,811.4286,1.177675
234,kappa,844.2857,1.123447
234,kappa,875.0,1.079052
234,kappa,903.5714,1.04449
235,kappa,348.1622,2.648385
235,kappa,399.7297,2.369404
235,kappa,449.3514,2.13972
235,kappa,499.4595,1.934698
235,kappa,550.0541,1.762558
235,kappa,599.6757,1.615066
235,kappa,649.2973,1.488121
235,kappa,697.9459,1.385826
235,kappa,721.7838,1.340838
46,kappa,301.7964,3.324895
46,kappa,349.1018,2.843882
46,kappa,320.9581,3.122363
46,kappa,374.2515,2.607595
46,kappa,399.4012,2.388186
46,kappa,423.9521,2.181435
46,kappa,449.1018,2.0
46,kappa,473.6527,1.835443
46,kappa,523.3533,1.57384
46,kappa,550.2994,1.472574
46,kappa,575.4491,1.383966
46,kappa,600.5988,1.312236
46,kappa,674.2515,1.151899
46,kappa,724.5509,1.067511
46,kappa,750.8982,1.037975
46,kappa,774.8503,1.012658
46,kappa,800.0,1.042194
236,kappa,348.6486,2.599074
236,kappa,400.7027,2.213248
236,kappa,452.2703,1.884952
236,kappa,502.3784,1.634725
236,kappa,553.4595,1.429712
236,kappa,604.0541,1.294558
236,kappa,654.1622,1.216933
236,kappa,727.6216,1.16007
237,kappa,299.7352,2.699583
237,kappa,320.2524,2.559298
237,kappa,371.3589,2.241039
237,kappa,398.2786,2.100071
237,kappa,423.2722,1.966067
237,kappa,449.012,1.848814
237,kappa,474.0057,1.753181
237,kappa,498.9994,1.647808
237,kappa,523.5592,1.57102
237,kappa,550.1059,1.493549
237,kappa,574.7265,1.420266
237,kappa,600.0933,1.353264
237,kappa,624.7139,1.303012
237,kappa,648.5885,1.252761
237,kappa,673.9552,1.210885
237,kappa,697.8298,1.17042
237,kappa,721.7043,1.143883
64,kappa,300.0,2.963892
64,kappa,325.0484,2.817013
64,kappa,350.0967,2.666463
64,kappa,375.1451,2.497552
64,kappa,400.1934,2.343329
64,kappa,424.9033,2.203794
64,kappa,449.9516,2.078947
64,kappa,475.0,1.921053
64,kappa,499.7099,1.810894
64,kappa,524.7582,1.726438
64,kappa,550.1451,1.641983
64,kappa,574.8549,1.564871
64,kappa,599.9033,1.484088
64,kappa,624.9516,1.417993
64,kappa,650.0,1.359241
238,kappa,299.2349,2.832257
238,kappa,314.2049,2.689061
238,kappa,325.8483,2.613695
238,kappa,346.2242,2.511951
238,kappa,372.8377,2.349914
238,kappa,394.0452,2.259475
238,kappa,422.7379,2.127584
238,kappa,447.2721,2.029608
238,kappa,473.4697,1.935401
238,kappa,497.5882,1.856266
238,kappa,523.3699,1.769595
238,kappa,547.9042,1.713071
238,kappa,573.686,1.641473
238,kappa,598.2202,1.584948
238,kappa,623.5862,1.524655
238,kappa,647.7046,1.468131
238,kappa,673.4864,1.400301
238,kappa,698.8523,1.355082
238,kappa,724.2182,1.298557
239,kappa,302.725,3.943763
239,kappa,350.4129,3.415946
239,kappa,400.8258,2.993795
239,kappa,450.3303,2.6635
239,kappa,500.289,2.356174
239,kappa,550.2477,2.131526
239,kappa,601.1148,1.920664
239,kappa,651.5277,1.806256
239,kappa,701.4864,1.756148
239,kappa,751.4451,1.729006
239,kappa,801.858,1.729427
239,kappa,850.9083,1.743617
88,kappa,297.8723,3.813514
88,kappa,323.0496,3.647297
88,kappa,347.8723,3.485135
88,kappa,373.0496,3.327027
88,kappa,397.8723,3.128378
88,kappa,422.695,2.889189
88,kappa,447.8723,2.62973
88,kappa,478.3688,2.431081
88,kappa,498.227,2.216216
88,kappa,523.0496,2.074324
88,kappa,548.227,1.932432
88,kappa,573.0496,1.774324
88,kappa,598.227,1.636486
88,kappa,623.0496,1.535135
240,kappa,348.6486,2.508663
240,kappa,397.2973,2.176231
240,kappa,444.973,1.864338
240,kappa,492.1622,1.626412
240,kappa,541.2973,1.44193
240,kappa,590.4324,1.314981
240,kappa,639.0811,1.233234
240,kappa,687.7297,1.184363
240,kappa,712.0541,1.180475
241,kappa,297.8284,3.251648
241,kappa,320.0869,2.995238
241,kappa,372.747,2.515385
241,kappa,422.6927,2.097802
241,kappa,473.1813,1.768132
241,kappa,523.127,1.504396
241,kappa,573.0727,1.306593
241,kappa,623.5613,1.163736
241,kappa,672.9642,1.064835
241,kappa,722.9099,1.00989
241,kappa,772.8556,0.9989011
241,kappa,823.3442,1.024542
242,kappa,302.1174,2.012953
242,kappa,322.0868,1.968912
242,kappa,347.0496,1.909326
242,kappa,372.6369,1.84715
242,kappa,397.6017,1.779793
242,kappa,422.5659,1.715026
242,kappa,447.5314,1.645078
242,kappa,471.2475,1.582902
242,kappa,497.4584,1.520725
242,kappa,522.4246,1.448187
242,kappa,547.3881,1.38601
242,kappa,571.7286,1.321244
242,kappa,597.9389,1.261658
242,kappa,622.9018,1.202073
242,kappa,648.489,1.139896
242,kappa,672.825,1.093264
242,kappa,697.7859,1.041451
242,kappa,722.1206,1.0
242,kappa,747.7026,0.9585492
242,kappa,772.6604,0.9196891
242,kappa,798.2399,0.888601
242,kappa,823.1943,0.8626943
242,kappa,847.5232,0.8445596
242,kappa,871.8507,0.8316062
242,kappa,896.802,0.8186528
242,kappa,929.8594,0.8134715
82,kappa,297.9313,2.526932
82,kappa,323.1445,2.372709
82,kappa,348.0728,2.20086
82,kappa,372.9956,2.095107
82,kappa,398.2048,1.989354
82,kappa,423.1276,1.883601
82,kappa,448.0486,1.79988
