sample_id,tepname,temp,tepvalue
8188,Z,"[297.5568, 324.0177, 348.4346, 372.8717, 397.2987, 421.7156, 448.1968, 472.6339, 497.0711, 523.5421, 547.9995, 574.4604, 598.9077, 621.3311, 649.8361, 674.2833, 698.7103, 725.2016, 749.6185, 774.0455, 798.4523, 824.893, 847.2557, 871.6625]","[0, 1.99005e-06, 2.985075e-06, 5.970149e-06, 7.960199e-06, 8.955224e-06, 1.293532e-05, 1.59204e-05, 1.890547e-05, 2.189055e-05, 2.686567e-05, 2.885572e-05, 3.283582e-05, 3.781095e-05, 4.079602e-05, 4.477612e-05, 4.676617e-05, 5.174129e-05, 5.273632e-05, 5.472637e-05, 5.472637e-05, 5.472637e-05, 5.373134e-05, 5.373134e-05]"
8882,Z,"[300, 313.211, 323.1193, 332.2936, 342.3853, 352.844, 363.1193, 373.0275, 383.1193, 393.211, 403.3028, 413.211, 423.3028, 433.0275, 443.3028, 453.211, 463.3028, 473.3945]","[0.003821035, 0.004143122, 0.003598171, 0.003358137, 0.003342895, 0.003038759, 0.003200097, 0.002542786, 0.002575699, 0.002560458, 0.002641524, 0.003075706, 0.002803643, 0.002338934, 0.002131091, 0.001778756, 0.001619053, 0.001876684]"
8883,Z,"[300.1835, 313.0275, 322.7523, 332.6606, 342.5688, 352.844, 363.1193, 373.211, 383.1193, 393.0275, 403.1193, 413.211, 423.3028, 433.211, 443.1193, 453.211, 463.3028, 473.211]","[0.005554597, 0.007032353, 0.00651949, 0.006680799, 0.006312413, 0.005590926, 0.004211333, 0.004806044, 0.003795603, 0.003491422, 0.0037009, 0.003091758, 0.002659181, 0.002579719, 0.002275539, 0.002806044, 0.002277158, 0.001716156]"
8884,Z,"[300, 313.211, 322.9358, 332.2936, 342.3853, 352.844, 363.1193, 373.211, 383.1193, 393.3945, 403.3028, 413.3945, 423.3028, 433.0275, 443.3028, 453.3945, 463.4862, 473.578]","[0.004142062, 0.00494569, 0.004368622, 0.003823626, 0.00363182, 0.003472146, 0.003087738, 0.002799623, 0.002607802, 0.002704935, 0.002304446, 0.001952126, 0.002129486, 0.00205001, 0.001938475, 0.001634309, 0.001346194, 0.001314901]"
8885,Z,"[300, 312.844, 323.1193, 332.844, 342.3853, 352.6606, 362.9358, 373.0275, 383.3028, 393.0275, 403.1193, 413.211, 423.3028, 433.0275, 443.1193, 453.211, 463.3028, 473.3945]","[0.005105144, 0.006245821, 0.005604592, 0.005685629, 0.00550983, 0.005173576, 0.004419986, 0.003842947, 0.002960947, 0.003298806, 0.002914383, 0.00288309, 0.002257897, 0.002194472, 0.001922409, 0.001987424, 0.001859823, 0.001555657]"
8886,Z,"[299.8165, 313.211, 322.7523, 332.2936, 342.3853, 352.844, 363.1193, 373.211, 383.1193, 393.211, 403.3028, 413.211, 423.1193, 433.0275, 443.1193, 453.211, 463.3028, 473.3945]","[0.002601116, 0.003404759, 0.003309217, 0.003374188, 0.003230536, 0.002878245, 0.002863019, 0.002719366, 0.002383083, 0.002335739, 0.002192086, 0.002241036, 0.00140716, 0.001488212, 0.001248251, 0.00112065, 0.001009101, 0.001090167]"
137,Z,,[]
125,Z,,[]
134,Z,,[]
4,Z,,[]
1,Z,,[]
6823,Z,"[82.36641, 105.8779, 124.8092, 145.2672, 162.9771, 195.6489, 223.4351, 248.4733, 294.2748, 296.1069, 323.2824, 359.9237, 391.0687]","[0.0006758242, 0.0008992674, 0.001152015, 0.001346154, 0.001595238, 0.001961538, 0.002283883, 0.002470696, 0.002727106, 0.00279304, 0.002972527, 0.003020147, 0.002884615]"
6824,Z,"[82.06107, 100.3817, 119.6183, 140.0763, 159.0076, 191.6794, 220.9924, 246.3359, 271.9847, 301.2977, 300.687, 339.4656, 339.4656, 371.2214, 372.7481, 401.7557, 402.0611]","[0.0005659341, 0.0007197802, 0.0009249084, 0.001163004, 0.001335165, 0.001752747, 0.002042125, 0.002327839, 0.002521978, 0.002540293, 0.002701465, 0.002796703, 0.002708791, 0.002741758, 0.002708791, 0.002606227, 0.002686813]"
6825,Z,"[82.67176, 123.2824, 141.9084, 159.9237, 192.2901, 220.9924, 247.8626, 272.9008, 296.1069, 296.1069, 339.771, 370.916, 400.229, 400.229]","[0.0006904762, 0.001126374, 0.001408425, 0.001613553, 0.002020147, 0.00242674, 0.002712454, 0.002979853, 0.002961538, 0.00302381, 0.003269231, 0.003379121, 0.003082418, 0.002990842]"
6882,Z,"[110.5062, 130.9182, 151.7168, 171.748, 191.3939, 211.4187, 231.4404, 251.455, 271.4659, 291.0838, 310.6922, 331.4461, 351.0367, 371.0023, 390.9558, 410.5139]","[0.0009486755, 0.001162252, 0.001390728, 0.001634106, 0.001872517, 0.002066225, 0.002235099, 0.002349338, 0.002433775, 0.002453642, 0.002399007, 0.002279801, 0.002086093, 0.001817881, 0.001455298, 0.001008278]"
6883,Z,"[110.072, 120.8501, 140.8705, 160.8928, 180.9151, 200.554, 220.9654, 240.994, 260.6349, 281.4283, 300.6807, 320.3127, 341.4754, 361.0921]","[0.0005612583, 0.0006307947, 0.0007897351, 0.0009635762, 0.001137417, 0.001321192, 0.001529801, 0.001753311, 0.001951987, 0.002140728, 0.002309603, 0.002438742, 0.002508278, 0.002518212]"
6884,Z,"[120.81, 141.2328, 161.6429, 181.2888, 201.7047, 221.3729, 241.783, 261.4264, 281.0647, 301.4754, 321.4939, 341.5073, 361.513, 381.5066, 401.8849]","[0.0003178808, 0.000615894, 0.0008145695, 0.00105298, 0.001296358, 0.001708609, 0.001907285, 0.002125828, 0.002304636, 0.002508278, 0.002652318, 0.002756623, 0.002801325, 0.002751656, 0.002701987]"
6885,Z,"[111.215, 131.2411, 151.2736, 171.6875, 191.7155, 212.1281, 232.1555, 251.797, 271.4391, 292.2306, 311.4773, 331.0965, 351.8588, 371.4576, 391.4391]","[0.0004768212, 0.0006804636, 0.0009337748, 0.001162252, 0.001380795, 0.001599338, 0.001812914, 0.002016556, 0.002225166, 0.002399007, 0.002523179, 0.00255298, 0.002498344, 0.002369205, 0.002225166]"
6886,Z,"[100.6507, 120.8257, 141.7685, 161.1822, 181.3648, 201.5455, 220.9661, 240.3874, 261.719, 281.1478, 300.9623, 321.1651, 340.2315, 361.6022, 381.0771]","[0.0007727273, 0.001045455, 0.001278512, 0.001541322, 0.001754545, 0.001982645, 0.002190909, 0.002394215, 0.002567769, 0.00271157, 0.002820661, 0.002875207, 0.002870248, 0.002736364, 0.002518182]"
6887,Z,"[100.5492, 120.7243, 141.2863, 161.0914, 180.899, 201.86, 221.3027, 240.7504, 261.7316, 280.4324, 299.901, 320.1397, 340.3834, 360.6335, 380.5073, 399.2371, 409.9398]","[0.001571074, 0.001843802, 0.002071901, 0.002255372, 0.002419008, 0.002508264, 0.002542975, 0.002538017, 0.002468595, 0.002339669, 0.002171074, 0.001942975, 0.001675207, 0.001357851, 0.001000826, 0.0006438017, 0.0004404959]"
6888,Z,"[90.31608, 100.2145, 120.3871, 141.3197, 161.1084, 181.2822, 201.8411, 220.8829, 241.4538, 261.6534, 281.098, 300.9365, 321.1614, 340.2523, 361.2619, 381.1294, 400.6237, 411.3277]","[0.001080165, 0.001204132, 0.001496694, 0.001809091, 0.002121488, 0.002404132, 0.002657025, 0.002845455, 0.003004132, 0.003083471, 0.003103306, 0.003023967, 0.002904959, 0.002706612, 0.00241405, 0.002106612, 0.001734711, 0.001521488]"
